EvseId,Created,ExternalId,DurationSeconds,VolumeKwh,TariffCode,WholesaleCost
NL-GFX-ENL-GFX-RD00265-1,2022-04-21 16:06:34.5011570,NLGFX637861200588925338-a341a,33936,18.0000,A2,5.4000
NL-GFX-ENL-GFX-RD00272-1,2022-04-14 16:10:48.8933047,NLGFX637855163500235249-e216a,33098,0.5600,A2,0.1700
NL-GFX-ENL-GFX-RD00272-2,2022-07-12 13:43:45.5540000,NLGFX637932040466449530-f0b1e,26178,24.1400,A2,7.2400
NULL,2016-07-15 13:09:10.8966667,GFX-20160715050424.221,29093,2.6500,A2,0.8000
NL-GFX-ENL-GFX-RD00272-2,2022-05-19 14:49:59.2340000,NLGFX637885396036445339-4a5ee,28993,5.6100,A2,1.6800
NULL,2016-04-04 08:50:22.6833333,900842,29691,9.6491,A2,2.9000
NULL,2016-06-03 13:15:32.5800000,GFX-20160603053058.436,27863,5.8700,A2,1.7600
NL-GFX-ENL_GFX_A0017-2,2022-09-19 13:40:45.3420000,NLGFX637991598410254395-f8960,31805,57.3400,A2,17.2000
NL-GFX-ENL_GFX_A0017-2,2022-04-14 14:54:28.5481001,NLGFX637855124574875199-dfa65,32422,44.3000,A2,13.2900
NL-GFX-ENL-GFX-RD00274-1,2022-06-03 13:10:35.0060000,NLGFX637898428773012543-b1e61,15755,0.0200,A2,0.0100
NL-GFX-ENL_GFX_A0017-1,2022-09-07 14:41:46.9230000,NLGFX637981222791736510-76973,36228,7.8700,A2,2.3600
NULL,2016-06-28 14:32:21.0866667,GFX-20160628051113.840,33670,6.0000,A2,1.8000
NL-GFX-ENL-GFX-RD00274-1,2022-05-02 15:19:07.9271703,NLGFX637870754223342694-b420f,26124,0.0200,A2,0.0100
NULL,2016-07-04 15:13:55.0733333,GFX-20160704065005.828,30234,7.5700,A2,2.2700
NULL,2016-02-03 22:28:08.3166667,1601780822,785,0.4800,A2,0.1400
NULL,2016-03-03 18:28:59.7133333,849526,32881,7.0600,A2,2.1200
NULL,2016-03-03 18:28:57.2500000,849649,34479,8.8101,A2,2.6500
NULL,2016-07-21 14:23:07.4466667,GFX-20160721053925.380,31429,7.1700,A2,2.1500
NULL,2016-04-04 08:52:05.1866667,863758,23325,9.2900,A2,2.7900
NL-GFX-EJLZ-J0034-2,2022-08-17 15:21:17.8380000,NLGFX637963091760626067-46778,37311,10.6500,A2,3.2000
NL-GFX-ENL_GFX_A0017-2,2022-07-11 14:32:05.2800000,NLGFX637931153292373014-4e372,31401,49.5000,A2,14.8500
NULL,2016-07-18 14:41:44.9533333,GFX-20160718053105.752,33044,8.9000,A2,2.6700
NULL,2016-03-03 18:30:00.2433333,832244,16477,29.1101,A2,8.7400
NL-GFX-ENL-GFX-RD00274-2,2022-06-08 16:14:33.1230000,NLGFX637902664695887198-17776,35204,20.2900,A2,6.0900
NL-GFX-ENL-GFX-RD00265-1,2022-10-31 15:04:47.7070000,NLGFX638028001771909378-74603,25310,29.0900,A2,8.7300
NULL,2016-07-08 14:20:43.9366667,GFX-20160708052357.442,32211,8.8600,A2,2.6600
NULL,2016-05-24 14:15:19.4900000,GFX-20160524051320.075,32517,2.6600,A2,0.8000
NL-GFX-ENL-GFX-RD00274-1,2022-05-17 15:46:57.8400000,NLGFX637883674321941059-f8d00,31786,0.0600,A2,0.0200
NL-GFX-ENL-GFX-RD00265-2,2022-10-19 16:14:48.8800000,NLGFX638017591416271930-0a29f,33746,19.8800,A2,5.9600
NL-GFX-ENL-GFX-RD00298-2,2022-10-24 06:22:55.4110000,NLGFX638021845443284189-37eaf,4831,2.7600,A2,0.8300
NULL,2016-03-03 18:29:14.3166667,845297,32973,7.1200,A2,2.1400
NL-GFX-ENL-GFX-RD00272-2,2022-11-08 15:59:14.6030000,NLGFX638035105267036047-0ded3,9427,20.6400,A2,6.1900
NL-GFX-ENL-GFX-RD00272-1,2022-09-22 14:12:41.9700000,NLGFX637994205717409244-24880,32189,8.6900,A2,2.6100
NL-GFX-ENL-GFX-RD00265-2,2022-10-26 14:43:18.2320000,NLGFX638023613336324423-2e6c8,30865,8.9300,A2,2.6800
NL-GFX-ENL_GFX_A0017-1,2022-10-17 13:36:13.5290000,NLGFX638015763580942079-2b9bf,34215,8.4500,A2,2.5400
NULL,2016-03-03 18:30:34.2233333,821847,13639,9.9500,A2,2.9800
